id,body,gold_type,gold_severity,gold_sentiment,gold_notes
1,"this aap is ridiculous it has to support student, not focus on business. Such a rascals.",,,,
2,The power of Notion in your android device!,,,,
3,great potential. the mac app is good the phone app needs lots of work. cant copy small section of texts from ai etc,,,,
4,Absolutely fantastic app for notes and learning. I've been using it for a while and have no complaints,,,,
5,ALL THINGS ARE GREAT BUT PROCESSING OF THINGS ARE SLOW IN SIMPLE WORDS DOING CHANGES LIKE DELETING IS SLOW AND BUT THIS IS VERY GOOD APP EVERYONE SHOULD TRY IT AT LEAST FOR ONE MONTH !,,,,
6,not opening the file even my internet is working it's asking for connect to internet,,,,
7,"we want to work more task like calculation team managment, salary and business management more advanced",feature_request,3,neutral,
8,sangat membantu untuk pencatatan daily,,,,
9,"it's a very useful app if you really want to manage your work, routine, habits etc. I am using this app from 2 months and it's awesome 😎😎.",,,,
10,"se necesita tener internet para verse las anotaciones, en serio?",,,,
11,Best app in my mobile for ever that's so awesome 👍🔥🔥🔥 Thank you notion you change my life,,,,
12,so good app i like this i love this ❤️❤️❤️❤️❤️❤️,,,,
13,Notion with this specific template made for GTD is the closest i have come to finding something that fits my needs and actually keeps me on track.,,,,
14,best app if you are trying to stay organised and be more productive.,,,,
15,There's a problem with the background color menu after the last update,,,,
16,It's very helpful and useful apps.,,,,
17,ultimate research and note taking app,,,,
18,Can you update the widget sizes. One takes more suave than needed. Page 2*2 is more like a 3*3 also it could be 1*1 icon only,,,,
21,very good. but after using 20 time the free version has been permanently gone,,,,
22,very laggy app plus website also feels very laggy,,,,
23,I love notion but I feel like the fact the u can only get a few ai responses from free bit the ai does soo well. I just love it manages my life so well. Thank u team notion 😄,,,,
24,"Many difficulties, Content vanished automatically.",bug,3,negative,"user's content vanished completely and it's serious concern, maybe there can be a mistake from user also"
26,recently the app feels like it barely works,,,,
28,so ghi idk chk DH of DH of DH it DH it be k GF t it he DH u handle DH nd DH it DH he DH he,,,,
29,"This app is good, but please add some tutorials. It can be confusing for new users.",,,,
32,amount of hours spent one this to use this app was wasted. I absolutely have no idea how the hell this app has 4.6 rating.,,,,
35,"On a page block the background colour menu doesn't scroll, popup window is frozen. Also the Action menu is frozen and won't swipe down. Samsung galaxy s20",,,,
36,Dragging and reordering could be smoother on Android. Or selecting text. But besides that I love it,ux_friction,4,negative,it's serious concern that on android devices user facing ux friction issues
37,"The page refusing to scroll up/down when I try to select stuff on mobile pisses me off, but an update thankfully fixed moving with the spacebar. Unfortunately, it relying on AI sounds like a security/privacy risk and an environmental one. That said, the toggle lists are amazing and its main competition is Google Docs and Microsoft Word... two programs by companies I consider morally bankrupt as of late. You have room to do MUCH better, but your competition is far worse.",,,,
39,Great app. One big problem. A few months ago it started gargling input when using voice dictation. For me this is a serious degradation in usability. Upgrades haven't helped.,,,,
40,This app works so slow,,,,
41,i was loving the app until it stopped saving my updates. i used it for work for the last year but now I'm losing my info.,,,,
43,"love it! one star reduced only because it's not, yet, fully optimised for mobile ( eg undo button needs too many clicks), but all in all an amazing app that I havent even begun to fully take advantage of, because it has so much cool stuff!",,,,
44,suddenly saying I am offline and can't access any of my pages!!! please help,,,,
45,I love the creative freedom to create something that helps you organise all your thoughts. UI can be slightly clunky.,,,,
46,"Sometimes, even multiple times a day, I go to make a new page or click on an existing one and the page just straight up doesn't load. I have to exit and clear cache for anything to happen. This is both on mobile data & wifi. The app has a lot of annoying glitches like this even as someone who doesn't use it too often.",,,,
49,"I don't wanna use AI slop, deleted app",,,,
50,Every week something new just stops working randomly,,,,
51,Pushing AI made me uninstall and move apps. Get your wasteful sloppy garbage off my devices.,,,,
62,"it's so hard to edit especially on mobile, every time I go to next line it's going to next block, and when it's list it's going the same, and some aren't list is not going to next block. it's like so messy and hard to control. so badddd app fr, don't download it if you don't want headache lmao",,,,
65,we need text alignment in the menu for a more organized look. thank you.,feature_request,2,neutral,
66,"nags for reviews! very annoying, I'm trying to do work!",,,,
73,Its nearly perfect for notes good stuff hoping we could get at least free ai per day but regardless still good,,,,
74,"Honestly I love it, it works really well there's a ton of templates for free, no ads, and honestly just super helpful. My only thing is that there isn't like customizable background colors so everything is the same color, but like there is still a bunch of ways to customize each page so honestly I would so recommend it",,,,
80,"great app. sometimes it just doesn't work, but for the most part they get it back up and running in no time",,,,
82,GOD Blaees the world.Amen,,,,
84,"the BEST notes app. but could there be a custom color feature added? it would be really cool and honestly thats the only feature i can think of recommending because notion already has it all, just not that..",,,,
90,"Stupid program with limited options, look elsewhere for better apps. EverNote, Obsidian, etc This is a second grader attempt at a note program, ridiculous.",,,,
94,"greedy, greedy devs, overcomplicated and slow app. I absolutely dont recommend",,,,
106,"I hate it. i have all my school and work on here with no way of transferring without paying and their severs work half the time. if you have pictures videos or anything other than text and they have server issues then you lose that. i can't study, i cant access my work material. we thought about a business subscription but i talked them out of it. Now you can only share up to 5Mib (with out $12/m aub) files per note page... was 6. load times are terrible. new broken update every few days.",,,,
115,"I've been using notion for at least a year and its great, I can tell there is so much more that it is capable of than the basic idea and notes remembering i use it for. I've tried lots of similar apps and this is solid. I'd love a link to a tutorial when you first open it showing how to utilise all the capabilities it has. Recommended.",,,,
119,tiene un potencial enorme. ahora anda a entender como armar algo que te funcione. prefiero Google Drive,,,,
134,Really good app Works great on windows too but I can't find letter formatting on windows and if it would have free hand writing I would have used it for my notes too,,,,
